screen_name,tweet_id,reply_date,reply_time,reply,collecting_date,collecting_time
crazydotcomm,822529965484871680,2017/1/20,19:43:20,"b'RT @ChandrusWeb: Isnt TN part of India,  how is it out of national politics?  @SudhanshuTrived https://t.co/KbKvEV56H3'",2017/1/20,12:7:21
shivu_33riyadh,822529852532109312,2017/1/20,19:42:53,"b'@TimesNow TREAT HIM INSIDE THE JAIL LIKE OTHER PRISONERS, PEOPLE SEEN MANY FILMS AND KNOW EVERY POLITICIAN ACT WHEN\xe2\x80\xa6 https://t.co/CxPztNof66'",2017/1/20,12:7:21
zeewoozoo1,822529735284637696,2017/1/20,19:42:25,b'RT @Marc__Me: @TimesNow Why pick @asadowaisi and not  @HRajaBJP ? https://t.co/l0yGYiadMn',2017/1/20,12:7:21
Sudha1420,822529694537052161,2017/1/20,19:42:15,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
CharleePile,822529681597628416,2017/1/20,19:42:12,b'@TimesNow https://t.co/3qsVwBkoUK',2017/1/20,12:7:21
jpalash_,822529599393431552,2017/1/20,19:41:53,"b'RT @politicalSci_: \xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa4\x82\xe0\xa4\x96\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xb0\xe0\xa4\x96 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\x97\xe0\xa4\x8f \xe0\xa4\xaa\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xa5\xe0\xa4\xb0,\n\xe0\xa4\x90 \xe0\xa4\x96\xe0\xa5\x81\xe0\xa4\xa6\xe0\xa4\xbe \xe0\xa4\xa4\xe0\xa5\x82 \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xae \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\x95\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\x81...?\n#ZairaWasim \nhttps://t.co/40yw62mk2c'",2017/1/20,12:7:21
nikkhilrajan,822529553427877888,2017/1/20,19:41:42,"b'RT @annavetticad: Typical. So the politics of #TamilNadu is not ""national politics"" unless a north  India-based party is involved? https://\xe2\x80\xa6'",2017/1/20,12:7:21
NeerajS77158590,822529547480334336,2017/1/20,19:41:40,b'RT @TimesNow: Telugu superstar Mahesh Babu comes out strongly in support of jallikattu amid groundswell in Tamil Nadu for conduct of the sp\xe2\x80\xa6',2017/1/20,12:7:21
kishoresonecha,822529531470811137,2017/1/20,19:41:36,"b""@suzain0177 @TimesNow in that case, I am blocking you. Can't talk to anti-nationals.""",2017/1/20,12:7:21
lethalw2010,822529470795915265,2017/1/20,19:41:22,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
